index,Y,X,state,Lat,Lon,official_name,owner_operator,closest_city,match_confidence,research_note
43,39551462,-89896896,Illinois - 4,39.551,-89.897,Virden-area data-center site,Not confidently identified,Virden,low,No sufficiently reliable public source found for an exact facility/operator at this coordinate.
44,32929772,-100217068,Texas - 15,32.930,-100.217,Hamlin-area data-center site,Not confidently identified,Hamlin,low,No sufficiently reliable public source found for an exact facility/operator at this coordinate.
45,30571253,-96259596,Texas - 16,30.571,-96.260,College Station-area data-center site,Not confidently identified,College Station,low,No sufficiently reliable public source found for an exact facility/operator at this coordinate.
46,39132337,-94880339,Kansas,39.132,-94.880,Project Red Wolf,Red Wolf DCD Properties LLC,Kansas City,high,"Public project filings match this Kansas City, Kansas coordinate."
47,39703005,-80849409,Ohio - 5,39.703,-80.849,Hannibal-area data-center site,Not confidently identified,Hannibal,low,No sufficiently reliable public source found for an exact facility/operator at this coordinate.
48,30566119,-97071239,Texas - 17,30.566,-97.071,KDC / Project Comal,KDC,Taylor,medium,Best public match for the second Taylor-area data-center project.
49,33872814,-101840221,Texas - 18,33.873,-101.840,LBB01 Data Center,Aligned Data Centers (property) / Lambda (tenant),Abernathy,high,Public property and tenant reporting identify the Lubbock-area campus.
50,41583559,-8669592,Indiana - 4,41.584,-86.696,Thomas Rose Industrial Park Data Center,Not publicly confirmed,La Porte,low,Nearest named public data-center site; operating company is not confidently confirmed.
51,3437504,-85044477,Georgia - 2,34.375,-85.044,Adairsville-area data-center project,Not confidently identified,Adairsville,low,Project match is uncertain; kept explicit rather than assigning an unsupported operator.
52,33172897,-11552351,California - 2,33.173,-115.524,Imperial Valley data-center site A,Not confidently identified,Calipatria,low,Public sources do not confidently identify the operating company at the exact coordinate.
53,33172883,-115531097,California - 3,33.173,-115.531,Imperial Valley data-center site B,Not confidently identified,Calipatria,low,Public sources do not confidently identify the operating company at the exact coordinate.
54,32398365,-100915261,Texas - 19,32.398,-100.915,Barber Lake Data Center,Not publicly confirmed,Colorado City,medium,Named project/site match; public operator attribution remains unclear.
55,31464147,-99556221,Texas - 20,31.464,-99.556,Central Texas data-center site,Not confidently identified,Eden,low,No sufficiently reliable public source found for an exact facility/operator at this coordinate.
56,35777147,-80975634,North Carolina,35.777,-80.976,Statesville-area data-center site,Not confidently identified,Statesville,low,No sufficiently reliable public source found for an exact facility/operator at this coordinate.
57,40897178,-84552378,Ohio - 6,40.897,-84.552,Van Wert-area data-center site,Not confidently identified,Van Wert,low,No sufficiently reliable public source found for an exact facility/operator at this coordinate.
58,43358918,-78604177,New York,43.359,-78.604,Lake Mariner Data Center,TeraWulf,Barker,high,TeraWulf Lake Mariner campus.
59,33448499,-8452256,Georgia - 3,33.448,-84.523,QTS Fayetteville / Fairwater Atlanta campus,QTS Data Centers (Microsoft tenant),Fayetteville,high,QTS campus associated with Microsoft Fairwater Atlanta infrastructure.
